strain_entity_id,canonical_genome_path,total_bp,contigs,largest_contig_bp,skani_compatible,exclusion_reason,learned_nearclone_block,raw_nearclone_block,FINAL_nearclone_99_5_block,learned_lineage95_block,raw_lineage95_block,FINAL_lineage_95_block
STRAIN_000125,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000125.fa.gz,2924325,2,2895264,True,,LNC_0076,RNC_0071,NC_0071,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000126,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000126.fa.gz,2598348,6,2438589,True,,LNC_0077,RNC_0072,NC_0072,LANI95_0015,RANI95_0015,ANI95_0015
STRAIN_000127,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000127.fa.gz,2080931,1,2080931,True,,LNC_0169,RNC_0161,NC_0161,LANI95_0017,RANI95_0017,ANI95_0017
STRAIN_000128,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000128.fa.gz,4676461,2,4518712,True,,LNC_0170,RNC_0162,NC_0162,LANI95_0050,RANI95_0051,ANI95_0051
STRAIN_000129,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000129.fa.gz,1999618,1,1999618,True,,LNC_0025,RNC_0024,NC_0024,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000130,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000130.fa.gz,4817463,2,4639821,True,,LNC_0171,RNC_0163,NC_0163,LANI95_0051,RANI95_0052,ANI95_0052
STRAIN_000131,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000131.fa.gz,2846746,1,2846746,True,,LNC_0172,RNC_0164,NC_0164,LANI95_0052,RANI95_0053,ANI95_0053
STRAIN_000132,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000132.fa.gz,2898456,2,2861969,True,,LNC_0053,RNC_0049,NC_0049,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000133,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000133.fa.gz,5957605,1,5957605,True,,LNC_0173,RNC_0165,NC_0165,LANI95_0053,RANI95_0054,ANI95_0054
STRAIN_000134,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000134.fa.gz,2664102,1,2664102,True,,LNC_0174,RNC_0166,NC_0166,LANI95_0054,RANI95_0055,ANI95_0055
STRAIN_000135,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000135.fa.gz,2832748,1,2832748,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000136,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000136.fa.gz,3914947,2,3887492,True,,LNC_0175,RNC_0167,NC_0167,LANI95_0055,RANI95_0056,ANI95_0056
STRAIN_000137,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000137.fa.gz,1933695,1,1933695,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000138,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000138.fa.gz,1938709,1,1938709,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000139,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000139.fa.gz,1938483,1,1938483,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000140,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000140.fa.gz,3197759,1,3197759,True,,LNC_0006,RNC_0008,NC_0008,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000141,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000141.fa.gz,2501097,1,2501097,True,,LNC_0176,RNC_0168,NC_0168,LANI95_0056,RANI95_0057,ANI95_0057
STRAIN_000142,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000142.fa.gz,7184930,1,7184930,True,,LNC_0177,RNC_0169,NC_0169,LANI95_0057,RANI95_0058,ANI95_0058
STRAIN_000143,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000143.fa.gz,2636367,1,2636367,True,,LNC_0078,RNC_0073,NC_0073,LANI95_0023,RANI95_0023,ANI95_0023
STRAIN_000144,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000144.fa.gz,2635654,2,2598144,True,,LNC_0079,RNC_0074,NC_0074,LANI95_0008,RANI95_0008,ANI95_0008
STRAIN_000145,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000145.fa.gz,1944152,1,1944152,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000146,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000146.fa.gz,4727255,3,4296230,True,,LNC_0178,RNC_0170,NC_0170,LANI95_0058,RANI95_0059,ANI95_0059
STRAIN_000147,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000147.fa.gz,5241700,2,5205140,True,,LNC_0179,RNC_0171,NC_0171,LANI95_0059,RANI95_0060,ANI95_0060
STRAIN_000148,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000148.fa.gz,4067864,6,3883467,True,,LNC_0180,RNC_0172,NC_0172,LANI95_0060,RANI95_0061,ANI95_0061
STRAIN_000149,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000149.fa.gz,3079196,1,3079196,True,,LNC_0012,RNC_0013,NC_0013,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000150,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000150.fa.gz,3010111,1,3010111,True,,LNC_0014,RNC_0015,NC_0015,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000151,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000151.fa.gz,3033106,2,2968598,True,,LNC_0004,RNC_0005,NC_0005,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000152,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000152.fa.gz,3598621,1,3598621,True,,LNC_0181,RNC_0173,NC_0173,LANI95_0061,RANI95_0062,ANI95_0062
STRAIN_000153,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000153.fa.gz,1864998,1,1864998,True,,LNC_0182,RNC_0174,NC_0174,LANI95_0019,RANI95_0019,ANI95_0019
STRAIN_000154,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000154.fa.gz,2616384,1,2616384,True,,LNC_0183,RNC_0175,NC_0175,LANI95_0062,RANI95_0063,ANI95_0063
STRAIN_000155,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000155.fa.gz,2477838,1,2477838,True,,LNC_0184,RNC_0176,NC_0176,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000156,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000156.fa.gz,1944050,1,1944050,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000157,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000157.fa.gz,2530294,1,2530294,True,,LNC_0051,RNC_0048,NC_0048,LANI95_0015,RANI95_0015,ANI95_0015
STRAIN_000158,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000158.fa.gz,2136138,4,1828169,True,,LNC_0185,RNC_0177,NC_0177,LANI95_0025,RANI95_0025,ANI95_0025
STRAIN_000159,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000159.fa.gz,3212261,9,693713,True,,LNC_0003,RNC_0003,NC_0003,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000160,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000160.fa.gz,7025559,1,7025559,True,,LNC_0186,RNC_0178,NC_0178,LANI95_0063,RANI95_0064,ANI95_0064
STRAIN_000161,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000161.fa.gz,2645781,10,2431709,True,,LNC_0187,RNC_0179,NC_0179,LANI95_0023,RANI95_0023,ANI95_0023
STRAIN_000162,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000162.fa.gz,3307936,2,3254376,True,,LNC_0005,RNC_0001,NC_0001,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000163,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000163.fa.gz,2389110,40,994221,True,,LNC_0188,RNC_0180,NC_0180,LANI95_0016,RANI95_0016,ANI95_0016
STRAIN_000164,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000164.fa.gz,4227134,4,3821831,True,,LNC_0189,RNC_0181,NC_0181,LANI95_0064,RANI95_0065,ANI95_0065
STRAIN_000165,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000165.fa.gz,4187615,1,4187615,True,,LNC_0011,RNC_0012,NC_0012,LANI95_0014,RANI95_0014,ANI95_0014
STRAIN_000166,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000166.fa.gz,4214643,1,4214643,True,,LNC_0011,RNC_0012,NC_0012,LANI95_0014,RANI95_0014,ANI95_0014
STRAIN_000167,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000167.fa.gz,2202695,9,1497472,True,,LNC_0190,RNC_0182,NC_0182,LANI95_0013,RANI95_0013,ANI95_0013
STRAIN_000168,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000168.fa.gz,3025352,3,2939026,True,,LNC_0080,RNC_0075,NC_0075,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000169,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000169.fa.gz,2331386,103,1384428,True,,LNC_0036,RNC_0037,NC_0037,LANI95_0012,RANI95_0012,ANI95_0012
STRAIN_000170,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000170.fa.gz,1867005,74,342590,True,,LNC_0054,RNC_0028,NC_0028,LANI95_0005,RANI95_0005,ANI95_0005
STRAIN_000171,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000171.fa.gz,2017251,32,747243,True,,LNC_0191,RNC_0183,NC_0183,LANI95_0025,RANI95_0025,ANI95_0025
STRAIN_000172,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000172.fa.gz,2316838,5,2264399,True,,LNC_0029,RNC_0031,NC_0031,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000173,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000173.fa.gz,2020500,38,1227701,True,,LNC_0001,RNC_0002,NC_0002,LANI95_0010,RANI95_0010,ANI95_0010
STRAIN_000174,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000174.fa.gz,2015721,95,795806,True,,LNC_0025,RNC_0024,NC_0024,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000175,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000175.fa.gz,2186882,1,2186882,True,,LNC_0192,RNC_0184,NC_0184,LANI95_0013,RANI95_0013,ANI95_0013
STRAIN_000176,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000176.fa.gz,2129206,1,2129206,True,,LNC_0193,RNC_0185,NC_0185,LANI95_0017,RANI95_0017,ANI95_0017
STRAIN_000177,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000177.fa.gz,2364583,25,477166,True,,LNC_0194,RNC_0186,NC_0186,LANI95_0028,RANI95_0028,ANI95_0028
STRAIN_000178,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000178.fa.gz,2214656,1,2214656,True,,LNC_0195,RNC_0187,NC_0187,LANI95_0013,RANI95_0013,ANI95_0013
STRAIN_000179,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000179.fa.gz,2265943,1,2265943,True,,LNC_0196,RNC_0188,NC_0188,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000180,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000180.fa.gz,2305557,2,1576206,True,,LNC_0197,RNC_0189,NC_0189,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000181,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000181.fa.gz,2992972,2,2961421,True,,LNC_0024,RNC_0023,NC_0023,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000182,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000182.fa.gz,6312783,6,4368708,True,,LNC_0198,RNC_0190,NC_0190,LANI95_0065,RANI95_0066,ANI95_0066
STRAIN_000183,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000183.fa.gz,2131976,2,2125753,True,,LNC_0199,RNC_0191,NC_0191,LANI95_0019,RANI95_0019,ANI95_0019
STRAIN_000184,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000184.fa.gz,1831949,1,1831949,True,,LNC_0030,RNC_0007,NC_0007,LANI95_0007,RANI95_0007,ANI95_0007
STRAIN_000185,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000185.fa.gz,4292969,80,4214598,True,,LNC_0011,RNC_0012,NC_0012,LANI95_0014,RANI95_0014,ANI95_0014
STRAIN_000186,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000186.fa.gz,5614252,3,4864217,True,,LNC_0200,RNC_0192,NC_0192,LANI95_0066,RANI95_0067,ANI95_0067
STRAIN_000187,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000187.fa.gz,2172383,2,2145899,True,,LNC_0201,RNC_0193,NC_0193,LANI95_0017,RANI95_0017,ANI95_0017
STRAIN_000188,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000188.fa.gz,1872918,1,1872918,True,,LNC_0202,RNC_0194,NC_0194,LANI95_0019,RANI95_0019,ANI95_0019
STRAIN_000189,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000189.fa.gz,2518737,6,2399458,True,,LNC_0018,RNC_0016,NC_0016,LANI95_0008,RANI95_0008,ANI95_0008
STRAIN_000190,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000190.fa.gz,3127288,2,3069926,True,,LNC_0012,RNC_0013,NC_0013,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000191,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000191.fa.gz,3077434,2,3039042,True,,LNC_0012,RNC_0013,NC_0013,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000192,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000192.fa.gz,2524513,2543,16111,True,,LNC_0203,RNC_0195,NC_0195,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000193,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000193.fa.gz,2685399,2,2635294,True,,LNC_0204,RNC_0196,NC_0196,LANI95_0067,RANI95_0068,ANI95_0068
STRAIN_000194,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000194.fa.gz,5467641,2,5459214,True,,LNC_0205,RNC_0197,NC_0197,LANI95_0068,RANI95_0069,ANI95_0069
STRAIN_000195,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000195.fa.gz,3782950,1,3782950,True,,LNC_0206,RNC_0198,NC_0198,LANI95_0069,RANI95_0070,ANI95_0070
STRAIN_000196,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000196.fa.gz,2385164,1,2385164,True,,LNC_0023,RNC_0022,NC_0022,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000197,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000197.fa.gz,2408831,3,2400312,True,,LNC_0207,RNC_0199,NC_0199,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000198,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000198.fa.gz,3980199,1,3980199,True,,LNC_0208,RNC_0200,NC_0200,LANI95_0070,RANI95_0071,ANI95_0071
STRAIN_000199,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000199.fa.gz,3348624,4,3308273,True,,LNC_0019,RNC_0001,NC_0001,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000200,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000200.fa.gz,2384987,1,2384987,True,,LNC_0209,RNC_0201,NC_0201,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000201,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000201.fa.gz,2354088,3,2113023,True,,LNC_0210,RNC_0202,NC_0202,LANI95_0071,RANI95_0072,ANI95_0072
STRAIN_000202,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000202.fa.gz,2395764,3,2385301,True,,LNC_0211,RNC_0203,NC_0203,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000203,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000203.fa.gz,1441470,2,1422478,True,,LNC_0212,RNC_0204,NC_0204,LANI95_0072,RANI95_0073,ANI95_0073
STRAIN_000204,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000204.fa.gz,2422684,1,2422684,True,,LNC_0081,RNC_0076,NC_0076,LANI95_0012,RANI95_0012,ANI95_0012
STRAIN_000205,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000205.fa.gz,1943113,1,1943113,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000206,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000206.fa.gz,1938583,1,1938583,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000207,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000207.fa.gz,2325981,6,1300035,True,,LNC_0213,RNC_0205,NC_0205,LANI95_0073,RANI95_0029,ANI95_0029
STRAIN_000208,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000208.fa.gz,2386233,47,294354,True,,LNC_0214,RNC_0206,NC_0206,LANI95_0012,RANI95_0012,ANI95_0012
STRAIN_000209,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000209.fa.gz,2860691,188,133793,True,,LNC_0004,RNC_0005,NC_0005,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000210,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000210.fa.gz,4011949,1,4011949,True,,LNC_0215,RNC_0207,NC_0207,LANI95_0014,RANI95_0014,ANI95_0014
STRAIN_000211,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000211.fa.gz,2900620,10,983797,True,,LNC_0013,RNC_0014,NC_0014,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000212,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000212.fa.gz,2091243,3,1943635,True,,LNC_0082,RNC_0077,NC_0077,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000213,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000213.fa.gz,2577104,5,2452616,True,,LNC_0216,RNC_0208,NC_0208,LANI95_0015,RANI95_0015,ANI95_0015
STRAIN_000214,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000214.fa.gz,3207224,10,832807,True,,LNC_0003,RNC_0003,NC_0003,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000215,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000215.fa.gz,2434610,2,2326299,True,,LNC_0217,RNC_0209,NC_0209,LANI95_0074,RANI95_0074,ANI95_0074
STRAIN_000216,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000216.fa.gz,1929905,1,1929905,True,,LNC_0218,RNC_0050,NC_0050,LANI95_0007,RANI95_0007,ANI95_0007
STRAIN_000217,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000217.fa.gz,1932693,1,1932693,True,,LNC_0219,RNC_0210,NC_0210,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000218,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000218.fa.gz,6019547,2,5962570,True,,LNC_0220,RNC_0211,NC_0211,LANI95_0075,RANI95_0075,ANI95_0075
STRAIN_000219,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000219.fa.gz,1848520,1,1848520,True,,LNC_0030,RNC_0007,NC_0007,LANI95_0007,RANI95_0007,ANI95_0007
STRAIN_000220,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000220.fa.gz,2223664,1,2223664,True,,LNC_0221,RNC_0212,NC_0212,LANI95_0013,RANI95_0013,ANI95_0013
STRAIN_000221,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000221.fa.gz,2828958,1,2828958,True,,LNC_0016,RNC_0018,NC_0018,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000222,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000222.fa.gz,1938595,1,1938595,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000223,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000223.fa.gz,1938822,1,1938822,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000224,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000224.fa.gz,2474718,1,2474718,True,,LNC_0222,RNC_0213,NC_0213,LANI95_0076,RANI95_0076,ANI95_0076
STRAIN_000225,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000225.fa.gz,2562720,1,2562720,True,,LNC_0223,RNC_0214,NC_0214,LANI95_0077,RANI95_0077,ANI95_0077
STRAIN_000226,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000226.fa.gz,2426359,7,1489429,True,,LNC_0224,RNC_0215,NC_0215,LANI95_0078,RANI95_0029,ANI95_0029
STRAIN_000227,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000227.fa.gz,2167304,1,2167304,True,,LNC_0225,RNC_0216,NC_0216,LANI95_0079,RANI95_0078,ANI95_0078
STRAIN_000228,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000228.fa.gz,2907892,1,2907892,True,,LNC_0080,RNC_0075,NC_0075,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000229,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000229.fa.gz,2457347,9,2250427,True,,LNC_0055,RNC_0051,NC_0051,LANI95_0015,RANI95_0015,ANI95_0015
STRAIN_000230,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000230.fa.gz,3132096,2,3075780,True,,LNC_0012,RNC_0013,NC_0013,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000231,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000231.fa.gz,4043754,1,4043754,True,,LNC_0226,RNC_0217,NC_0217,LANI95_0014,RANI95_0014,ANI95_0014
STRAIN_000232,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000232.fa.gz,1609365,143,76153,True,,LNC_0227,RNC_0218,NC_0218,LANI95_0007,RANI95_0007,ANI95_0007
STRAIN_000233,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000233.fa.gz,3299755,4,3203964,True,,LNC_0007,RNC_0006,NC_0006,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000234,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000234.fa.gz,2421471,1,2421471,True,,LNC_0056,RNC_0052,NC_0052,LANI95_0008,RANI95_0008,ANI95_0008
STRAIN_000235,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000235.fa.gz,4215610,1,4215610,True,,LNC_0011,RNC_0012,NC_0012,LANI95_0014,RANI95_0014,ANI95_0014
STRAIN_000236,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000236.fa.gz,2291643,1,2291643,True,,LNC_0228,RNC_0219,NC_0219,LANI95_0080,RANI95_0079,ANI95_0079
STRAIN_000237,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000237.fa.gz,4021944,1,4021944,True,,LNC_0083,RNC_0078,NC_0078,LANI95_0014,RANI95_0014,ANI95_0014
STRAIN_000238,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000238.fa.gz,2587877,10,2395134,True,,LNC_0229,RNC_0220,NC_0220,LANI95_0009,RANI95_0009,ANI95_0009
STRAIN_000239,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000239.fa.gz,3102374,2,3042753,True,,LNC_0012,RNC_0013,NC_0013,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000240,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000240.fa.gz,1991579,1,1991579,True,,LNC_0001,RNC_0002,NC_0002,LANI95_0010,RANI95_0010,ANI95_0010
STRAIN_000241,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000241.fa.gz,3246630,8,3035719,True,,LNC_0008,RNC_0009,NC_0009,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000242,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000242.fa.gz,2064620,1,2064620,True,,LNC_0230,RNC_0221,NC_0221,LANI95_0005,RANI95_0005,ANI95_0005
STRAIN_000243,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000243.fa.gz,3128276,2,3068655,True,,LNC_0012,RNC_0013,NC_0013,LANI95_0004,RANI95_0004,ANI95_0004
STRAIN_000244,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000244.fa.gz,2093275,7,1947706,True,,LNC_0231,RNC_0222,NC_0222,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000245,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000245.fa.gz,3361015,11,3044678,True,,LNC_0008,RNC_0009,NC_0009,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000246,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000246.fa.gz,1944036,1,1944036,True,,LNC_0002,RNC_0004,NC_0004,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000247,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000247.fa.gz,3417091,218,465584,True,,LNC_0232,RNC_0223,NC_0223,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000248,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000248.fa.gz,2883376,1,2883376,True,,LNC_0013,RNC_0014,NC_0014,LANI95_0003,RANI95_0003,ANI95_0003
