strain_entity_id,canonical_genome_path,total_bp,contigs,largest_contig_bp,skani_compatible,exclusion_reason
STRAIN_000206,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000206.fa.gz,1938583,1,1938583,True,
STRAIN_000207,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000207.fa.gz,2325981,6,1300035,True,
STRAIN_000208,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000208.fa.gz,2386233,47,294354,True,
STRAIN_000209,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000209.fa.gz,2860691,188,133793,True,
STRAIN_000210,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000210.fa.gz,4011949,1,4011949,True,
STRAIN_000211,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000211.fa.gz,2900620,10,983797,True,
STRAIN_000212,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000212.fa.gz,2091243,3,1943635,True,
STRAIN_000213,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000213.fa.gz,2577104,5,2452616,True,
STRAIN_000214,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000214.fa.gz,3207224,10,832807,True,
STRAIN_000215,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000215.fa.gz,2434610,2,2326299,True,
STRAIN_000216,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000216.fa.gz,1929905,1,1929905,True,
STRAIN_000217,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000217.fa.gz,1932693,1,1932693,True,
STRAIN_000218,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000218.fa.gz,6019547,2,5962570,True,
STRAIN_000219,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000219.fa.gz,1848520,1,1848520,True,
STRAIN_000220,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000220.fa.gz,2223664,1,2223664,True,
STRAIN_000221,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000221.fa.gz,2828958,1,2828958,True,
STRAIN_000222,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000222.fa.gz,1938595,1,1938595,True,
STRAIN_000223,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000223.fa.gz,1938822,1,1938822,True,
STRAIN_000224,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000224.fa.gz,2474718,1,2474718,True,
STRAIN_000225,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000225.fa.gz,2562720,1,2562720,True,
STRAIN_000226,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000226.fa.gz,2426359,7,1489429,True,
STRAIN_000227,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000227.fa.gz,2167304,1,2167304,True,
STRAIN_000228,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000228.fa.gz,2907892,1,2907892,True,
STRAIN_000229,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000229.fa.gz,2457347,9,2250427,True,
STRAIN_000230,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000230.fa.gz,3132096,2,3075780,True,
STRAIN_000231,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000231.fa.gz,4043754,1,4043754,True,
STRAIN_000232,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000232.fa.gz,1609365,143,76153,True,
STRAIN_000233,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000233.fa.gz,3299755,4,3203964,True,
STRAIN_000234,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000234.fa.gz,2421471,1,2421471,True,
STRAIN_000235,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000235.fa.gz,4215610,1,4215610,True,
STRAIN_000236,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000236.fa.gz,2291643,1,2291643,True,
STRAIN_000237,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000237.fa.gz,4021944,1,4021944,True,
STRAIN_000238,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000238.fa.gz,2587877,10,2395134,True,
STRAIN_000239,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000239.fa.gz,3102374,2,3042753,True,
STRAIN_000240,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000240.fa.gz,1991579,1,1991579,True,
STRAIN_000241,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000241.fa.gz,3246630,8,3035719,True,
STRAIN_000242,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000242.fa.gz,2064620,1,2064620,True,
STRAIN_000243,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000243.fa.gz,3128276,2,3068655,True,
STRAIN_000244,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000244.fa.gz,2093275,7,1947706,True,
STRAIN_000245,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000245.fa.gz,3361015,11,3044678,True,
STRAIN_000246,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000246.fa.gz,1944036,1,1944036,True,
STRAIN_000247,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000247.fa.gz,3417091,218,465584,True,
STRAIN_000248,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000248.fa.gz,2883376,1,2883376,True,
STRAIN_000249,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000249.fa.gz,3143369,2,3113601,True,
STRAIN_000250,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000250.fa.gz,2225962,1,2225962,True,
STRAIN_000251,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000251.fa.gz,2145445,1,2145445,True,
STRAIN_000252,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000252.fa.gz,2201251,27,272948,True,
STRAIN_000253,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000253.fa.gz,2330492,2,2297851,True,
STRAIN_000254,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000254.fa.gz,3068696,595,67226,True,
STRAIN_000255,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000255.fa.gz,2427048,1,2427048,True,
STRAIN_000256,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000256.fa.gz,2473047,86,176320,True,
STRAIN_000257,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000257.fa.gz,1991758,27,552040,True,
STRAIN_000258,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000258.fa.gz,1963012,1,1963012,True,
STRAIN_000259,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000259.fa.gz,1815647,250,73860,True,
STRAIN_000260,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000260.fa.gz,2925584,145,111877,True,
STRAIN_000261,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000261.fa.gz,2566297,116,2099664,True,
STRAIN_000262,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000262.fa.gz,2592264,2,2554693,True,
STRAIN_000263,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000263.fa.gz,2760872,7,2589250,True,
STRAIN_000264,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000264.fa.gz,1789138,1,1789138,True,
STRAIN_000265,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000265.fa.gz,2372966,1,2372966,True,
STRAIN_000266,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000266.fa.gz,1970999,124,136903,True,
STRAIN_000267,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000267.fa.gz,2592265,183,136659,True,
STRAIN_000268,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000268.fa.gz,3186676,162,228744,True,
STRAIN_000269,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000269.fa.gz,1753460,5,1736780,True,
STRAIN_000270,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000270.fa.gz,1782129,4,1778760,True,
STRAIN_000271,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000271.fa.gz,1828225,6,1820209,True,
STRAIN_000272,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000272.fa.gz,1871119,1,1871119,True,
STRAIN_000273,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000273.fa.gz,2240722,6,1121499,True,
STRAIN_000274,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000274.fa.gz,2288919,1,2288919,True,
STRAIN_000275,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000275.fa.gz,2315904,1,2315904,True,
STRAIN_000276,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000276.fa.gz,1789314,7,1782640,True,
STRAIN_000277,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000277.fa.gz,1889556,16,1834035,True,
STRAIN_000278,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000278.fa.gz,3064279,5,2938059,True,
STRAIN_000279,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000279.fa.gz,1959887,77,1923368,True,
STRAIN_000280,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000280.fa.gz,2780019,178,126593,True,
STRAIN_000281,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000281.fa.gz,2934843,63,202159,True,
STRAIN_000282,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000282.fa.gz,1931057,1,1931057,True,
STRAIN_000283,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000283.fa.gz,1845495,1,1845495,True,
STRAIN_000284,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000284.fa.gz,4188369,1,4188369,True,
STRAIN_000285,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000285.fa.gz,4193640,1,4193640,True,
STRAIN_000286,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000286.fa.gz,2051152,10,824571,True,
STRAIN_000287,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000287.fa.gz,4039155,1,4039155,True,
STRAIN_000288,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000288.fa.gz,2328179,23,548016,True,
STRAIN_000289,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000289.fa.gz,3031620,83,194806,True,
STRAIN_000290,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000290.fa.gz,2066054,25,628010,True,
STRAIN_000291,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000291.fa.gz,2564809,38,315514,True,
STRAIN_000292,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000292.fa.gz,3324076,33,489345,True,
STRAIN_000293,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000293.fa.gz,2497121,357,43367,True,
STRAIN_000294,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000294.fa.gz,2203222,1,2203222,True,
STRAIN_000295,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000295.fa.gz,2208468,2,1642032,True,
STRAIN_000296,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000296.fa.gz,2384703,8,1052891,True,
STRAIN_000297,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000297.fa.gz,2304613,15,828401,True,
STRAIN_000298,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000298.fa.gz,2099496,12,587506,True,
STRAIN_000299,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000299.fa.gz,2922140,90,264334,True,
STRAIN_000300,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000300.fa.gz,1980298,36,292794,True,
STRAIN_000301,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000301.fa.gz,3507828,7,3364521,True,
STRAIN_000302,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000302.fa.gz,3313644,4,3257132,True,
STRAIN_000303,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000303.fa.gz,2284490,72,768668,True,
STRAIN_000304,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000304.fa.gz,2202787,50,358666,True,
STRAIN_000305,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000305.fa.gz,2337521,1,2337521,True,
STRAIN_000306,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000306.fa.gz,2032698,1,2032698,True,
STRAIN_000307,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000307.fa.gz,2488699,1,2488699,True,
STRAIN_000308,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000308.fa.gz,2723202,9,2503991,True,
STRAIN_000309,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000309.fa.gz,1946899,1,1946899,True,
STRAIN_000310,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000310.fa.gz,1958651,1,1958651,True,
STRAIN_000311,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000311.fa.gz,5192286,7,4591803,True,
STRAIN_000312,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000312.fa.gz,2173720,1,2173720,True,
STRAIN_000313,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000313.fa.gz,1938624,1,1938624,True,
STRAIN_000314,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000314.fa.gz,4195102,1,4195102,True,
STRAIN_000315,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000315.fa.gz,3017804,3,2995875,True,
STRAIN_000316,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000316.fa.gz,2952961,3,2924929,True,
STRAIN_000317,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000317.fa.gz,2290145,1,2290145,True,
STRAIN_000318,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000318.fa.gz,3371458,47,438717,True,
STRAIN_000319,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000319.fa.gz,3366995,1,3366995,True,
STRAIN_000320,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000320.fa.gz,2545792,88,468991,True,
STRAIN_000321,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000321.fa.gz,1746939,10,1736449,True,
STRAIN_000322,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000322.fa.gz,1844433,15,1789956,True,
STRAIN_000323,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000323.fa.gz,2435429,99,136662,True,
STRAIN_000324,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000324.fa.gz,3624641,1,3624641,True,
STRAIN_000325,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000325.fa.gz,3310674,3,3284260,True,
STRAIN_000326,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000326.fa.gz,2889314,71,238997,True,
STRAIN_000327,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000327.fa.gz,1991969,1,1991969,True,
STRAIN_000328,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000328.fa.gz,2254339,6,1743969,True,
STRAIN_000329,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000329.fa.gz,3023416,92,314474,True,
STRAIN_000330,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000330.fa.gz,3237330,178,200934,True,
STRAIN_000331,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000331.fa.gz,3292151,1436,148366,True,
STRAIN_000332,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000332.fa.gz,2106631,2,2096031,True,
STRAIN_000333,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000333.fa.gz,2098510,1,2098510,True,
STRAIN_000334,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000334.fa.gz,1861792,1,1861792,True,
STRAIN_000335,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000335.fa.gz,2966480,71,588029,True,
STRAIN_000336,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000336.fa.gz,3079349,174,150860,True,
STRAIN_000337,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000337.fa.gz,3325806,11,2312345,True,
STRAIN_000338,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000338.fa.gz,2084058,1,2084058,True,
STRAIN_000339,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000339.fa.gz,1850434,1,1850434,True,
STRAIN_000340,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000340.fa.gz,3330093,18,588024,True,
STRAIN_000341,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000341.fa.gz,1829655,55,260777,True,
STRAIN_000342,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000342.fa.gz,1822484,93,129762,True,
STRAIN_000343,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000343.fa.gz,2315664,34,521039,True,
STRAIN_000344,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000344.fa.gz,2633826,6,2400704,True,
STRAIN_000345,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000345.fa.gz,3001027,26,784830,True,
STRAIN_000346,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000346.fa.gz,2223105,10,863792,True,
STRAIN_000347,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000347.fa.gz,2360966,9,786960,True,
STRAIN_000348,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000348.fa.gz,2310178,34,222722,True,
STRAIN_000349,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000349.fa.gz,2211039,1,2211039,True,
STRAIN_000350,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000350.fa.gz,2269415,1,2269415,True,
STRAIN_000351,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000351.fa.gz,2079525,1,2079525,True,
STRAIN_000352,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000352.fa.gz,2313752,1,2313752,True,
STRAIN_000353,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000353.fa.gz,3694837,1,3694837,True,
STRAIN_000354,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000354.fa.gz,2635669,1,2635669,True,
STRAIN_000355,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000355.fa.gz,2327220,128,148677,True,
STRAIN_000356,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000356.fa.gz,2467698,1,2467698,True,
STRAIN_000357,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000357.fa.gz,3004788,167,134389,True,
STRAIN_000358,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000358.fa.gz,2973347,5,2770411,True,
STRAIN_000359,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000359.fa.gz,3076437,1,3076437,True,
STRAIN_000360,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000360.fa.gz,1912453,18,530789,True,
STRAIN_000361,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000361.fa.gz,1912379,18,530832,True,
STRAIN_000362,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000362.fa.gz,3273239,3,3156839,True,
STRAIN_000363,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000363.fa.gz,3237652,1,3237652,True,
STRAIN_000364,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000364.fa.gz,1876516,1,1876516,True,
STRAIN_000365,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000365.fa.gz,2578115,1,2578115,True,
STRAIN_000366,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000366.fa.gz,2210370,1,2210370,True,
STRAIN_000367,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000367.fa.gz,2426006,2,2421115,True,
STRAIN_000368,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000368.fa.gz,2455762,2,2453124,True,
STRAIN_000369,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000369.fa.gz,3198337,1,3198337,True,
STRAIN_000370,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000370.fa.gz,2011828,108,137244,True,
STRAIN_000371,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000371.fa.gz,1769014,85,145657,True,
STRAIN_000372,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000372.fa.gz,3503067,13,1586832,True,
STRAIN_000373,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000373.fa.gz,2160583,1,2160583,True,
STRAIN_000374,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000374.fa.gz,3231771,2,1956412,True,
STRAIN_000375,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000375.fa.gz,2393865,24,359291,True,
STRAIN_000376,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000376.fa.gz,3141590,1,3141590,True,
STRAIN_000377,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000377.fa.gz,1950408,73,159496,True,
STRAIN_000378,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000378.fa.gz,3224773,67,312995,True,
STRAIN_000379,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000379.fa.gz,2820682,139,189015,True,
STRAIN_000380,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000380.fa.gz,2474438,11,629071,True,
STRAIN_000381,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000381.fa.gz,1954043,30,404580,True,
STRAIN_000382,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000382.fa.gz,2057071,150,80409,True,
STRAIN_000383,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000383.fa.gz,2949099,38,350319,True,
STRAIN_000384,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000384.fa.gz,2383240,389,43276,True,
STRAIN_000385,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000385.fa.gz,3228096,14,1048781,True,
STRAIN_000386,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000386.fa.gz,2340989,1,2340989,True,
STRAIN_000387,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000387.fa.gz,2458004,1,2458004,True,
STRAIN_000388,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000388.fa.gz,4030837,1,4030837,True,
STRAIN_000389,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000389.fa.gz,1875071,1,1875071,True,
STRAIN_000390,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000390.fa.gz,3322458,3,3261418,True,
STRAIN_000391,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000391.fa.gz,2918888,1,2918888,True,
STRAIN_000392,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000392.fa.gz,1787436,1,1787436,True,
STRAIN_000393,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000393.fa.gz,2439005,50,256662,True,
STRAIN_000394,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000394.fa.gz,2591675,123,167250,True,
STRAIN_000395,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000395.fa.gz,4056281,1,4056281,True,
STRAIN_000396,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000396.fa.gz,2952218,1,2952218,True,
STRAIN_000397,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000397.fa.gz,3274606,4,3254946,True,
STRAIN_000398,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000398.fa.gz,2234097,1,2234097,True,
STRAIN_000399,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000399.fa.gz,3183959,57,270685,True,
STRAIN_000400,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000400.fa.gz,3342747,239,252811,True,
STRAIN_000401,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000401.fa.gz,2542511,51,872817,True,
STRAIN_000402,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000402.fa.gz,4597202,3,3794139,True,
STRAIN_000403,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000403.fa.gz,1963029,45,229710,True,
STRAIN_000404,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000404.fa.gz,3263715,4,3212951,True,
STRAIN_000405,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000405.fa.gz,3425292,6,3131750,True,
STRAIN_000406,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000406.fa.gz,3876919,1,3876919,True,
STRAIN_000407,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000407.fa.gz,3278495,166,260476,True,
STRAIN_000408,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000408.fa.gz,1856787,1,1856787,True,
STRAIN_000409,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000409.fa.gz,3354689,1,3354689,True,
STRAIN_000410,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000410.fa.gz,2552671,1,2552671,True,
STRAIN_000411,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000411.fa.gz,1791656,1,1791656,True,
