strain_entity_id,current_genome_key,primary_accession,gcf_accession,gca_accession,species,strain,taxon_main,taxon_key,assembly_level,culture_collection,isolation_source,isolation_host,isolation_country,isolation_sample_type,legacy_pdb_ids,legacy_genome_uids,culture_collection_ids,local_genome_files,local_genome_file_count,old_paper_count,old_evidence_count,old_clinical_count,old_animal_count,old_in_vitro_count,probiotic_source_tags,matched_evidence_rows_v3,matched_publications_v3,matched_functions_v3,clinical_evidence_v3,animal_evidence_v3,in_vitro_evidence_v3,has_strain_resolved_evidence_v3,registry_accession_candidates,accession_source_columns,identity_match_status,identity_match_method,matched_genome_path,matched_genome_file,matched_genome_accessions,matched_valid_fasta,matched_total_bp,matched_n50,matched_contigs
STRAIN_000097,GCF_000006765.1,GCF_000006765.1,GCF_000006765.1,GCA_000006765.1,Pseudomonas aeruginosa,PAO1,aeruginosa,aeruginosa,Complete Genome,,,,,,PDB_000511,Pseudomonas aeruginosa||PAO1,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000006765.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000006765.1 | GCA_000006765.1,"GCF_000006765.1:current_genome_key,primary_accession,gcf_accession || GCA_000006765.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000006765.1.fa.gz,GCA_000006765.1.fa.gz,GCA_000006765.1,True,6264404,6264404,1
STRAIN_000098,GCF_000006865.1,GCF_000006865.1,GCF_000006865.1,GCA_000006865.1,Lactococcus lactis subsp. lactis,IL1403,lactis,lactis|lactis,Complete Genome,,,,,,PDB_000445,Lactococcus lactis subsp. lactis||IL1403,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000006865.1.fa.gz,1,4,4,0,4,0,,0,0,0,0,0,0,NO,GCF_000006865.1 | GCA_000006865.1,"GCF_000006865.1:current_genome_key,primary_accession,gcf_accession || GCA_000006865.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000006865.1.fa.gz,GCA_000006865.1.fa.gz,GCA_000006865.1,True,2365589,2365589,1
STRAIN_000099,GCF_000006965.1,GCF_000006965.1,GCF_000006965.1,GCA_000006965.1,Sinorhizobium meliloti,1021,meliloti,meliloti,Complete Genome,,,,,,PDB_000503,Sinorhizobium meliloti||1021,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000006965.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000006965.1 | GCA_000006965.1,"GCF_000006965.1:current_genome_key,primary_accession,gcf_accession || GCA_000006965.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000006965.1.fa.gz,GCA_000006965.1.fa.gz,GCA_000006965.1,True,6691694,3654135,3
STRAIN_000100,GCF_000007525.1,GCF_000007525.1,GCF_000007525.1,GCA_000007525.1,Bifidobacterium longum,NCC2705,longum,longum,Complete Genome,,,,,,PDB_000661,Bifidobacterium longum||NCC2705,NCC2705,G:\安雄伟论文\数据\genomes\ncbi\GCA_000007525.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000007525.1 | GCA_000007525.1,"GCF_000007525.1:current_genome_key,primary_accession,gcf_accession || GCA_000007525.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000007525.1.fa.gz,GCA_000007525.1.fa.gz,GCA_000007525.1,True,2260266,2256640,2
STRAIN_000101,GCF_000008065.1,GCF_000008065.1,GCF_000008065.1,GCA_000008065.1,Lactobacillus johnsonii,NCC 533,johnsonii,johnsonii,Complete Genome,,,,,,PDB_000477 | PDB_000825,Lactobacillus johnsonii||NCC 533,NCC533,G:\安雄伟论文\数据\genomes\ncbi\GCA_000008065.1.fa.gz,1,23,23,1,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000008065.1 | GCA_000008065.1,"GCF_000008065.1:current_genome_key,primary_accession,gcf_accession || GCA_000008065.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000008065.1.fa.gz,GCA_000008065.1.fa.gz,GCA_000008065.1,True,1992676,1992676,1
STRAIN_000102,GCF_000008925.1,GCF_000008925.1,GCF_000008925.1,GCA_000008925.1,Ligilactobacillus salivarius,UCC118,salivarius,salivarius,Complete Genome,,,,,,PDB_000623,Ligilactobacillus salivarius||UCC118,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000008925.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000008925.1 | GCA_000008925.1,"GCF_000008925.1:current_genome_key,primary_accession,gcf_accession || GCA_000008925.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000008925.1.fa.gz,GCA_000008925.1.fa.gz,GCA_000008925.1,True,2133977,1827111,4
STRAIN_000103,GCF_000008945.1,GCF_000008945.1,GCF_000008945.1,GCA_000008945.1,Bifidobacterium longum,DJO10A,longum,longum,Complete Genome,,,,,,PDB_000636,Bifidobacterium longum||DJO10A,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000008945.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000008945.1 | GCA_000008945.1,"GCF_000008945.1:current_genome_key,primary_accession,gcf_accession || GCA_000008945.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000008945.1.fa.gz,GCA_000008945.1.fa.gz,GCA_000008945.1,True,2389526,2375792,3
STRAIN_000104,GCF_000009045.1,GCF_000009045.1,GCF_000009045.1,GCA_000009045.1,Bacillus subtilis subsp. subtilis str.,168,subtilis,subtilis|subtilis,Complete Genome,,,,,,PDB_000543,Bacillus subtilis subsp. subtilis str.||168,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000009045.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000009045.1 | GCA_000009045.1,"GCF_000009045.1:current_genome_key,primary_accession,gcf_accession || GCA_000009045.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000009045.1.fa.gz,GCA_000009045.1.fa.gz,GCA_000009045.1,True,4215606,4215606,1
STRAIN_000105,GCF_000009425.1,GCF_000009425.1,GCF_000009425.1,GCA_000009425.1,Lactococcus cremoris subsp. cremoris,MG1363,cremoris,cremoris|cremoris,Complete Genome,,,,,,PDB_000573,Lactococcus cremoris subsp. cremoris||MG1363,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000009425.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000009425.1 | GCA_000009425.1,"GCF_000009425.1:current_genome_key,primary_accession,gcf_accession || GCA_000009425.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000009425.1.fa.gz,GCA_000009425.1.fa.gz,GCA_000009425.1,True,2529478,2529478,1
STRAIN_000106,GCF_000009825.1,GCF_000009825.1,GCF_000009825.1,GCA_000009825.1,Shouchella clausii,KSM-K16,clausii,clausii,Complete Genome,,,,,,PDB_000507,Shouchella clausii||KSM-K16,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000009825.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000009825.1 | GCA_000009825.1,"GCF_000009825.1:current_genome_key,primary_accession,gcf_accession || GCA_000009825.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000009825.1.fa.gz,GCA_000009825.1.fa.gz,GCA_000009825.1,True,4303871,4303871,1
STRAIN_000107,GCF_000010005.1,GCF_000010005.1,GCF_000010005.1,GCA_000010005.1,Limosilactobacillus reuteri subsp. reuteri,JCM 1112,reuteri,reuteri|reuteri,Complete Genome,,,,,,PDB_000767 | PDB_000859,Limosilactobacillus reuteri subsp. reuteri||JCM 1112,JCM1112,G:\安雄伟论文\数据\genomes\ncbi\GCA_000010005.1.fa.gz,1,19,19,18,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000010005.1 | GCA_000010005.1,"GCF_000010005.1:current_genome_key,primary_accession,gcf_accession || GCA_000010005.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010005.1.fa.gz,GCA_000010005.1.fa.gz,GCA_000010005.1,True,2039414,2039414,1
STRAIN_000108,GCF_000010145.1,GCF_000010145.1,GCF_000010145.1,GCA_000010145.1,Limosilactobacillus fermentum,IFO 3956,fermentum,fermentum,Complete Genome,,,,,,PDB_000684,Limosilactobacillus fermentum||IFO 3956,IFO3956,G:\安雄伟论文\数据\genomes\ncbi\GCA_000010145.1.fa.gz,1,2,2,1,1,0,Optibac,0,0,0,0,0,0,NO,GCF_000010145.1 | GCA_000010145.1,"GCF_000010145.1:current_genome_key,primary_accession,gcf_accession || GCA_000010145.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010145.1.fa.gz,GCA_000010145.1.fa.gz,GCA_000010145.1,True,2098685,2098685,1
STRAIN_000109,GCF_000010425.1,GCF_000010425.1,GCF_000010425.1,GCA_000010425.1,Bifidobacterium adolescentis,ATCC 15703,adolescentis,adolescentis,Complete Genome,,,,,,PDB_000642,Bifidobacterium adolescentis||ATCC 15703,ATCC15703,G:\安雄伟论文\数据\genomes\ncbi\GCA_000010425.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000010425.1 | GCA_000010425.1,"GCF_000010425.1:current_genome_key,primary_accession,gcf_accession || GCA_000010425.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010425.1.fa.gz,GCA_000010425.1.fa.gz,GCA_000010425.1,True,2089645,2089645,1
STRAIN_000110,GCF_000010525.1,GCF_000010525.1,GCF_000010525.1,GCA_000010525.1,Azorhizobium caulinodans,ORS 571,caulinodans,caulinodans,Complete Genome,,,,,,PDB_000616,Azorhizobium caulinodans||ORS 571,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000010525.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000010525.1 | GCA_000010525.1,"GCF_000010525.1:current_genome_key,primary_accession,gcf_accession || GCA_000010525.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010525.1.fa.gz,GCA_000010525.1.fa.gz,GCA_000010525.1,True,5369772,5369772,1
STRAIN_000111,GCF_000010725.1,GCF_000010725.1,GCF_000010725.1,GCA_000010725.1,Azospirillum sp.,B510,sp,sp,Complete Genome,,,,,,PDB_000560,Azospirillum sp.||B510,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000010725.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000010725.1 | GCA_000010725.1,"GCF_000010725.1:current_genome_key,primary_accession,gcf_accession || GCA_000010725.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000010725.1.fa.gz,GCA_000010725.1.fa.gz,GCA_000010725.1,True,7599738,1455109,7
STRAIN_000112,GCF_000011045.1,GCF_000011045.1,GCF_000011045.1,GCA_000011045.1,Lacticaseibacillus rhamnosus GG,ATCC 53103,rhamnosus,rhamnosus,Complete Genome,,human feces,Homo sapiens,USA,,PDB_000457 | PDB_001029,Lacticaseibacillus rhamnosus GG||ATCC 53103,ATCC53103,G:\安雄伟论文\数据\genomes\ncbi\GCA_000011045.1.fa.gz,1,19,19,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000011045.1 | GCA_000011045.1,"GCF_000011045.1:current_genome_key,primary_accession,gcf_accession || GCA_000011045.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000011045.1.fa.gz,GCA_000011045.1.fa.gz,GCA_000011045.1,True,3005051,3005051,1
STRAIN_000113,GCF_000011365.1,GCF_000011365.1,GCF_000011365.1,GCA_000011365.1,Bradyrhizobium diazoefficiens USDA 110,USDA110,diazoefficiens,diazoefficiens,Complete Genome,,,,,,PDB_000533,Bradyrhizobium diazoefficiens USDA 110||USDA110,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000011365.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000011365.1 | GCA_000011365.1,"GCF_000011365.1:current_genome_key,primary_accession,gcf_accession || GCA_000011365.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000011365.1.fa.gz,GCA_000011365.1.fa.gz,GCA_000011365.1,True,9105828,9105828,1
STRAIN_000114,GCF_000011825.1,GCF_000011825.1,GCF_000011825.1,GCA_000011825.1,Streptococcus thermophilus,LMG 18311,thermophilus,thermophilus,Complete Genome,,,,,,PDB_000733,Streptococcus thermophilus||LMG 18311,LMG18311,G:\安雄伟论文\数据\genomes\ncbi\GCA_000011825.1.fa.gz,1,1,1,0,1,0,Optibac,0,0,0,0,0,0,NO,GCF_000011825.1 | GCA_000011825.1,"GCF_000011825.1:current_genome_key,primary_accession,gcf_accession || GCA_000011825.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000011825.1.fa.gz,GCA_000011825.1.fa.gz,GCA_000011825.1,True,1796846,1796846,1
STRAIN_000115,GCF_000011845.1,GCF_000011845.1,GCF_000011845.1,GCA_000011845.1,Streptococcus thermophilus,CNRZ1066,thermophilus,thermophilus,Complete Genome,,,,,,PDB_000458,Streptococcus thermophilus||CNRZ1066,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000011845.1.fa.gz,1,1,1,0,1,0,Optibac,0,0,0,0,0,0,NO,GCF_000011845.1 | GCA_000011845.1,"GCF_000011845.1:current_genome_key,primary_accession,gcf_accession || GCA_000011845.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000011845.1.fa.gz,GCA_000011845.1.fa.gz,GCA_000011845.1,True,1796226,1796226,1
STRAIN_000116,GCF_000012905.2,GCF_000012905.2,GCF_000012905.2,GCA_000012905.2,Cereibacter sphaeroides,2.4.1,sphaeroides,sphaeroides,Chromosome,ATCC:BAA-808,,,,,PDB_000532,Cereibacter sphaeroides||2.4.1,ATCCBAA808,G:\安雄伟论文\数据\genomes\ncbi\GCA_000012905.2.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000012905.2 | GCA_000012905.2,"GCF_000012905.2:current_genome_key,primary_accession,gcf_accession || GCA_000012905.2:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000012905.2.fa.gz,GCA_000012905.2.fa.gz,GCA_000012905.2,True,4602977,3188524,7
STRAIN_000117,GCF_000013345.1,GCF_000013345.1,GCF_000013345.1,GCA_000013345.1,Frankia casuarinae,CcI3,casuarinae,casuarinae,Complete Genome,,,,,,PDB_000648,Frankia casuarinae||CcI3,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000013345.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000013345.1 | GCA_000013345.1,"GCF_000013345.1:current_genome_key,primary_accession,gcf_accession || GCA_000013345.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000013345.1.fa.gz,GCA_000013345.1.fa.gz,GCA_000013345.1,True,5433628,5433628,1
STRAIN_000118,GCF_000014385.1,GCF_000014385.1,GCF_000014385.1,GCA_000014385.1,Oenococcus oeni,PSU-1,oeni,oeni,Complete Genome,,,,,,PDB_000613,Oenococcus oeni||PSU-1,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000014385.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000014385.1 | GCA_000014385.1,"GCF_000014385.1:current_genome_key,primary_accession,gcf_accession || GCA_000014385.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014385.1.fa.gz,GCA_000014385.1.fa.gz,GCA_000014385.1,True,1780517,1780517,1
STRAIN_000119,GCF_000014405.1,GCF_000014405.1,GCF_000014405.1,GCA_000014405.1,Lactobacillus delbrueckii subsp. bulgaricus,ATCC BAA-365,delbrueckii,delbrueckii|bulgaricus,Complete Genome,,,,,,PDB_000784,Lactobacillus delbrueckii subsp. bulgaricus||ATCC BAA-365,ATCCBAA365,G:\安雄伟论文\数据\genomes\ncbi\GCA_000014405.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000014405.1 | GCA_000014405.1,"GCF_000014405.1:current_genome_key,primary_accession,gcf_accession || GCA_000014405.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014405.1.fa.gz,GCA_000014405.1.fa.gz,GCA_000014405.1,True,1856951,1856951,1
STRAIN_000120,GCF_000014425.1,GCF_000014425.1,GCF_000014425.1,GCA_000014425.1,Lactobacillus gasseri ATCC 33323 = JCM 1131,ATCC 33323,gasseri,gasseri,Complete Genome,,,,,,PDB_000629,Lactobacillus gasseri ATCC 33323 = JCM 1131||ATCC 33323,ATCC33323 | JCM1131,G:\安雄伟论文\数据\genomes\ncbi\GCA_000014425.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000014425.1 | GCA_000014425.1,"GCF_000014425.1:current_genome_key,primary_accession,gcf_accession || GCA_000014425.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014425.1.fa.gz,GCA_000014425.1.fa.gz,GCA_000014425.1,True,1894360,1894360,1
STRAIN_000121,GCF_000014445.1,GCF_000014445.1,GCF_000014445.1,GCA_000014445.1,Leuconostoc mesenteroides subsp. mesenteroides,ATCC 8293,mesenteroides,mesenteroides|mesenteroides,Complete Genome,ATCC:8293,,,,,PDB_000466,Leuconostoc mesenteroides subsp. mesenteroides||ATCC 8293,ATCC8293,G:\安雄伟论文\数据\genomes\ncbi\GCA_000014445.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000014445.1 | GCA_000014445.1,"GCF_000014445.1:current_genome_key,primary_accession,gcf_accession || GCA_000014445.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014445.1.fa.gz,GCA_000014445.1.fa.gz,GCA_000014445.1,True,2075763,2038396,2
STRAIN_000122,GCF_000014465.1,GCF_000014465.1,GCF_000014465.1,GCA_000014465.1,Levilactobacillus brevis,ATCC 367,brevis,brevis,Complete Genome,,,,,,PDB_000447 | PDB_000810,Levilactobacillus brevis||ATCC 367,ATCC367,G:\安雄伟论文\数据\genomes\ncbi\GCA_000014465.1.fa.gz,1,65,65,0,0,21,Optibac,0,0,0,0,0,0,NO,GCF_000014465.1 | GCA_000014465.1,"GCF_000014465.1:current_genome_key,primary_accession,gcf_accession || GCA_000014465.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014465.1.fa.gz,GCA_000014465.1.fa.gz,GCA_000014465.1,True,2340228,2291220,3
STRAIN_000123,GCF_000014485.1,GCF_000014485.1,GCF_000014485.1,GCA_000014485.1,Streptococcus thermophilus,LMD-9,thermophilus,thermophilus,Complete Genome,,,,,,PDB_000649,Streptococcus thermophilus||LMD-9,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000014485.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000014485.1 | GCA_000014485.1,"GCF_000014485.1:current_genome_key,primary_accession,gcf_accession || GCA_000014485.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014485.1.fa.gz,GCA_000014485.1.fa.gz,GCA_000014485.1,True,1864178,1856368,3
STRAIN_000124,GCF_000014505.1,GCF_000014505.1,GCF_000014505.1,GCA_000014505.1,Pediococcus pentosaceus,ATCC 25745,pentosaceus,pentosaceus,Complete Genome,ATCC:25745,,,,,PDB_000611,Pediococcus pentosaceus||ATCC 25745,ATCC25745,G:\安雄伟论文\数据\genomes\ncbi\GCA_000014505.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000014505.1 | GCA_000014505.1,"GCF_000014505.1:current_genome_key,primary_accession,gcf_accession || GCA_000014505.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014505.1.fa.gz,GCA_000014505.1.fa.gz,GCA_000014505.1,True,1832387,1832387,1
STRAIN_000125,GCF_000014525.1,GCF_000014525.1,GCF_000014525.1,GCA_000014525.1,Lacticaseibacillus paracasei,ATCC 334,paracasei,paracasei,Complete Genome,,,,,,PDB_000449,Lacticaseibacillus paracasei||ATCC 334,ATCC334,G:\安雄伟论文\数据\genomes\ncbi\GCA_000014525.1.fa.gz,1,3,3,0,3,0,Optibac,0,0,0,0,0,0,NO,GCF_000014525.1 | GCA_000014525.1,"GCF_000014525.1:current_genome_key,primary_accession,gcf_accession || GCA_000014525.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014525.1.fa.gz,GCA_000014525.1.fa.gz,GCA_000014525.1,True,2924325,2895264,2
STRAIN_000126,GCF_000014545.1,GCF_000014545.1,GCF_000014545.1,GCA_000014545.1,Lactococcus cremoris subsp. cremoris,SK11,cremoris,cremoris|cremoris,Complete Genome,,,,,,PDB_000624,Lactococcus cremoris subsp. cremoris||SK11,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000014545.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000014545.1 | GCA_000014545.1,"GCF_000014545.1:current_genome_key,primary_accession,gcf_accession || GCA_000014545.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000014545.1.fa.gz,GCA_000014545.1.fa.gz,GCA_000014545.1,True,2598348,2438589,6
STRAIN_000127,GCF_000015385.1,GCF_000015385.1,GCF_000015385.1,GCA_000015385.1,Lactobacillus helveticus,DPC 4571,helveticus,helveticus,Complete Genome,,,,,,PDB_000739,Lactobacillus helveticus||DPC 4571,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000015385.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000015385.1 | GCA_000015385.1,"GCF_000015385.1:current_genome_key,primary_accession,gcf_accession || GCA_000015385.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000015385.1.fa.gz,GCA_000015385.1.fa.gz,GCA_000015385.1,True,2080931,2080931,1
STRAIN_000128,GCF_000016325.1,GCF_000016325.1,GCF_000016325.1,GCA_000016325.1,Enterobacter sp. 638,is being sequenced for comparative,sp,sp,Complete Genome,,,,,,PDB_000530,Enterobacter sp. 638||is being sequenced for comparative,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000016325.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000016325.1 | GCA_000016325.1,"GCF_000016325.1:current_genome_key,primary_accession,gcf_accession || GCA_000016325.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000016325.1.fa.gz,GCA_000016325.1.fa.gz,GCA_000016325.1,True,4676461,4518712,2
STRAIN_000129,GCF_000016825.1,GCF_000016825.1,GCF_000016825.1,GCA_000016825.1,Limosilactobacillus reuteri subsp. reuteri,DSM 20016,reuteri,reuteri|reuteri,Complete Genome,,human intestinal tract,Homo sapiens,,,PDB_000279 | PDB_001028,Limosilactobacillus reuteri subsp. reuteri||DSM 20016,DSM20016,G:\安雄伟论文\数据\genomes\ncbi\GCA_000016825.1.fa.gz,1,20,20,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000016825.1 | GCA_000016825.1,"GCF_000016825.1:current_genome_key,primary_accession,gcf_accession || GCA_000016825.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000016825.1.fa.gz,GCA_000016825.1.fa.gz,GCA_000016825.1,True,1999618,1999618,1
STRAIN_000130,GCF_000017965.1,GCF_000017965.1,GCF_000017965.1,GCA_000017965.1,Lysinibacillus sphaericus,C3-41,sphaericus,sphaericus,Complete Genome,,,,,,PDB_000765,Lysinibacillus sphaericus||C3-41,,G:\安雄伟论文\数据\genomes\china\ncbi\GCA_000017965.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000017965.1 | GCA_000017965.1,"GCF_000017965.1:current_genome_key,primary_accession,gcf_accession || GCA_000017965.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000017965.1.fa.gz,GCA_000017965.1.fa.gz,GCA_000017965.1,True,4817463,4639821,2
STRAIN_000131,GCF_000019045.1,GCF_000019045.1,GCF_000019045.1,GCA_000019045.1,Anoxybacillus flavithermus,WK1,flavithermus,flavithermus,Complete Genome,,,,,,PDB_000561,Anoxybacillus flavithermus||WK1,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000019045.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000019045.1 | GCA_000019045.1,"GCF_000019045.1:current_genome_key,primary_accession,gcf_accession || GCA_000019045.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000019045.1.fa.gz,GCA_000019045.1.fa.gz,GCA_000019045.1,True,2846746,2846746,1
STRAIN_000132,GCF_000019245.4,GCF_000019245.4,GCF_000019245.4,GCA_000019245.3,Lacticaseibacillus paracasei,Zhang,paracasei,paracasei,Complete Genome,,koumiss (fermented mare's milk),,China: Inner Mongolia,,PDB_000330,Lacticaseibacillus paracasei||Zhang,,G:\安雄伟论文\数据\genomes\china\ncbi\GCA_000019245.3.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_000019245.4 | GCA_000019245.3,"GCF_000019245.4:current_genome_key,primary_accession,gcf_accession || GCA_000019245.3:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000019245.3.fa.gz,GCA_000019245.3.fa.gz,GCA_000019245.3,True,2898456,2861969,2
STRAIN_000133,GCF_000019965.1,GCF_000019965.1,GCF_000019965.1,GCA_000019965.1,Opitutus terrae,PB90-1,terrae,terrae,Complete Genome,,,,,,PDB_000516,Opitutus terrae||PB90-1,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000019965.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_000019965.1 | GCA_000019965.1,"GCF_000019965.1:current_genome_key,primary_accession,gcf_accession || GCA_000019965.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000019965.1.fa.gz,GCA_000019965.1.fa.gz,GCA_000019965.1,True,5957605,5957605,1
