genome_file,genome_path,file_size_bytes,accession_from_filename,accession_base,valid_fasta,contigs,total_bp,n50,largest_contig,smallest_contig,gc_percent,n_percent,error,all_path_accessions,all_path_accession_bases,n_path_accessions
GCA_000829035.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000829035.1.fa.gz,897194,GCA_000829035.1,GCA_000829035,True,3,3017804,2995875,2995875,10775,46.5544,0.0,,GCA_000829035.1,GCA_000829035,1
GCA_000829055.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000829055.1.fa.gz,873492,GCA_000829055.1,GCA_000829055,True,3,2952961,2924929,2924929,1326,47.8789,0.0,,GCA_000829055.1,GCA_000829055,1
GCA_000829295.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000829295.1.fa.gz,673760,GCA_000829295.1,GCA_000829295,True,1,2290145,2290145,2290145,2290145,60.0631,0.0,,GCA_000829295.1,GCA_000829295,1
GCA_000830535.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000830535.1.fa.gz,1010063,GCA_000830535.1,GCA_000830535,True,47,3371458,236899,438717,216,44.2635,8.9e-05,,GCA_000830535.1,GCA_000830535,1
GCA_000832905.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000832905.1.fa.gz,985629,GCA_000832905.1,GCA_000832905,True,1,3366995,3366995,3366995,3366995,46.8972,0.0,,GCA_000832905.1,GCA_000832905,1
GCA_000835975.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000835975.1.fa.gz,749344,GCA_000835975.1,GCA_000835975,True,88,2545792,148976,468991,111,35.2381,0.0,,GCA_000835975.1,GCA_000835975,1
GCA_000836595.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000836595.1.fa.gz,515280,GCA_000836595.1,GCA_000836595,True,10,1746939,1736449,1736449,514,39.1245,0.524231,,GCA_000836595.1,GCA_000836595,1
GCA_000836675.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000836675.1.fa.gz,544099,GCA_000836675.1,GCA_000836675,True,15,1844433,1789956,1789956,1041,38.9499,0.60398,,GCA_000836675.1,GCA_000836675,1
GCA_000875905.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000875905.1.fa.gz,734623,GCA_000875905.1,GCA_000875905,True,99,2435429,59109,136662,648,45.9482,0.0,,GCA_000875905.1,GCA_000875905,1
GCA_000876545.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000876545.1.fa.gz,1066867,GCA_000876545.1,GCA_000876545,True,1,3624641,3624641,3624641,3624641,46.2761,0.0,,GCA_000876545.1,GCA_000876545,1
GCA_000931425.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000931425.2.fa.gz,987867,GCA_000931425.2,GCA_000931425,True,3,3310674,3284260,3284260,5985,44.4202,0.0,,GCA_000931425.2,GCA_000931425,1
GCA_000932035.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000932035.1.fa.gz,866619,GCA_000932035.1,GCA_000932035,True,71,2889314,91548,238997,232,46.7579,3.5e-05,,GCA_000932035.1,GCA_000932035,1
GCA_000934625.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000934625.1.fa.gz,581974,GCA_000934625.1,GCA_000934625,True,1,1991969,1991969,1991969,1991969,34.7057,0.0,,GCA_000934625.1,GCA_000934625,1
GCA_000940535.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000940535.1.fa.gz,667946,GCA_000940535.1,GCA_000940535,True,6,2254339,1743969,1743969,49005,56.4333,0.0,,GCA_000940535.1,GCA_000940535,1
GCA_000949485.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000949485.1.fa.gz,907951,GCA_000949485.1,GCA_000949485,True,92,3023416,77173,314474,580,46.2492,0.0,,GCA_000949485.1,GCA_000949485,1
GCA_000956195.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000956195.1.fa.gz,974565,GCA_000956195.1,GCA_000956195,True,178,3237330,59762,200934,305,44.375,0.000124,,GCA_000956195.1,GCA_000956195,1
GCA_000958525.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000958525.1.fa.gz,1005995,GCA_000958525.1,GCA_000958525,True,1436,3292151,46785,148366,60,46.2513,0.0,,GCA_000958525.1,GCA_000958525,1
GCA_000961015.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000961015.1.fa.gz,615382,GCA_000961015.1,GCA_000961015,True,2,2106631,2096031,2096031,10600,36.8826,0.0,,GCA_000961015.1,GCA_000961015,1
GCA_000966835.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000966835.2.fa.gz,544200,GCA_000966835.2,GCA_000966835,True,1,2098510,2098510,2098510,2098510,52.4529,13.943417,,GCA_000966835.2,GCA_000966835,1
GCA_000971665.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000971665.1.fa.gz,549643,GCA_000971665.1,GCA_000971665,True,1,1861792,1861792,1861792,1861792,39.0745,0.0,,GCA_000971665.1,GCA_000971665,1
GCA_001005625.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001005625.1.fa.gz,886820,GCA_001005625.1,GCA_001005625,True,71,2966480,450445,588029,205,46.6889,0.0,,GCA_001005625.1,GCA_001005625,1
GCA_001005695.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001005695.1.fa.gz,928667,GCA_001005695.1,GCA_001005695,True,174,3079349,49090,150860,301,44.4945,0.00013,,GCA_001005695.1,GCA_001005695,1
GCA_001005805.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001005805.1.fa.gz,992047,GCA_001005805.1,GCA_001005805,True,11,3325806,2312345,2312345,1670,44.4209,0.016537,,GCA_001005805.1,GCA_001005805,1
GCA_001006025.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001006025.1.fa.gz,609529,GCA_001006025.1,GCA_001006025,True,1,2084058,2084058,2084058,2084058,36.9275,0.0,,GCA_001006025.1,GCA_001006025,1
GCA_001008015.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001008015.1.fa.gz,547690,GCA_001008015.1,GCA_001008015,True,1,1850434,1850434,1850434,1850434,39.0422,0.0,,GCA_001008015.1,GCA_001008015,1
GCA_001010175.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001010175.1.fa.gz,995708,GCA_001010175.1,GCA_001010175,True,18,3330093,386336,588024,1792,44.3747,0.0,,GCA_001010175.1,GCA_001010175,1
GCA_001010185.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001010185.1.fa.gz,547494,GCA_001010185.1,GCA_001010185,True,55,1829655,85869,260777,2994,51.6405,0.0,,GCA_001010185.1,GCA_001010185,1
GCA_001010245.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001010245.1.fa.gz,547701,GCA_001010245.1,GCA_001010245,True,93,1822484,36919,129762,1667,51.868,0.0,,GCA_001010245.1,GCA_001010245,1
GCA_001010915.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001010915.1.fa.gz,682866,GCA_001010915.1,GCA_001010915,True,34,2315664,176326,521039,244,59.3513,0.0,,GCA_001010915.1,GCA_001010915,1
GCA_001010995.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001010995.2.fa.gz,779084,GCA_001010995.2,GCA_001010995,True,6,2633826,2400704,2400704,20350,45.6628,0.0,,GCA_001010995.2,GCA_001010995,1
GCA_001013375.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001013375.1.fa.gz,895014,GCA_001013375.1,GCA_001013375,True,26,3001027,737422,784830,210,47.8862,0.0,,GCA_001013375.1,GCA_001013375,1
GCA_001020245.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001020245.1.fa.gz,649463,GCA_001020245.1,GCA_001020245,True,10,2223105,549603,863792,1543,62.7622,4.5e-05,,GCA_001020245.1,GCA_001020245,1
GCA_001020355.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001020355.1.fa.gz,689393,GCA_001020355.1,GCA_001020355,True,9,2360966,780429,786960,2094,62.9667,0.000169,,GCA_001020355.1,GCA_001020355,1
GCA_001020415.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001020415.1.fa.gz,676799,GCA_001020415.1,GCA_001020415,True,34,2310178,134193,222722,1181,62.5541,0.0,,GCA_001020415.1,GCA_001020415,1
GCA_001025135.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001025135.1.fa.gz,644731,GCA_001025135.1,GCA_001025135,True,1,2211039,2211039,2211039,2211039,62.6649,0.0,,GCA_001025135.1,GCA_001025135,1
GCA_001025175.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001025175.1.fa.gz,671810,GCA_001025175.1,GCA_001025175,True,1,2269415,2269415,2269415,2269415,58.8903,0.0,,GCA_001025175.1,GCA_001025175,1
GCA_001025195.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001025195.1.fa.gz,615162,GCA_001025195.1,GCA_001025195,True,1,2079525,2079525,2079525,2079525,56.2006,0.0,,GCA_001025195.1,GCA_001025195,1
GCA_001025215.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001025215.1.fa.gz,678208,GCA_001025215.1,GCA_001025215,True,1,2313752,2313752,2313752,2313752,56.3767,0.0,,GCA_001025215.1,GCA_001025215,1
GCA_001039495.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001039495.1.fa.gz,1087817,GCA_001039495.1,GCA_001039495,True,1,3694837,3694837,3694837,3694837,46.2345,0.0,,GCA_001039495.1,GCA_001039495,1
GCA_001042595.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001042595.1.fa.gz,776568,GCA_001042595.1,GCA_001042595,True,1,2635669,2635669,2635669,2635669,58.5379,0.0,,GCA_001042595.1,GCA_001042595,1
GCA_001044085.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001044085.1.fa.gz,826379,GCA_001044085.1,GCA_001044085,True,921,2724032,4854,55265,500,46.521,0.000477,,GCA_001044085.1,GCA_001044085,1
GCA_001050555.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001050555.1.fa.gz,691698,GCA_001050555.1,GCA_001050555,True,128,2327220,39694,148677,283,60.0494,0.0,,GCA_001050555.1,GCA_001050555,1
GCA_001051015.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001051015.2.fa.gz,726512,GCA_001051015.2,GCA_001051015,True,1,2467698,2467698,2467698,2467698,59.9411,0.0,,GCA_001051015.2,GCA_001051015,1
GCA_001067215.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001067215.1.fa.gz,905127,GCA_001067215.1,GCA_001067215,True,167,3004788,36362,134389,200,46.7042,0.003328,,GCA_001067215.1,GCA_001067215,1
GCA_001191565.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_001191565.1.fa.gz,883154,GCA_001191565.1,GCA_001191565,True,5,2973347,2770411,2770411,31497,46.3059,0.0,,GCA_001191565.1,GCA_001191565,1
GCA_001244395.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_001244395.1.fa.gz,910918,GCA_001244395.1,GCA_001244395,True,1,3076437,3076437,3076437,3076437,46.3472,3.3e-05,,GCA_001244395.1,GCA_001244395,1
GCA_001263975.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001263975.1.fa.gz,562822,GCA_001263975.1,GCA_001263975,True,18,1912453,200471,530789,2831,60.4649,0.005856,,GCA_001263975.1,GCA_001263975,1
GCA_001263985.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001263985.1.fa.gz,562938,GCA_001263985.1,GCA_001263985,True,18,1912379,200547,530832,2444,60.4658,0.007007,,GCA_001263985.1,GCA_001263985,1
GCA_001272315.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001272315.2.fa.gz,976286,GCA_001272315.2,GCA_001272315,True,3,3273239,3156839,3156839,49005,44.443,0.0,,GCA_001272315.2,GCA_001272315,1
GCA_001278015.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_001278015.1.fa.gz,965944,GCA_001278015.1,GCA_001278015,True,1,3237652,3237652,3237652,3237652,44.6591,0.0,,GCA_001278015.1,GCA_001278015,1
GCA_001280285.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001280285.1.fa.gz,554684,GCA_001280285.1,GCA_001280285,True,1,1876516,1876516,1876516,1876516,39.1049,0.0,,GCA_001280285.1,GCA_001280285,1
GCA_001281305.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001281305.1.fa.gz,761375,GCA_001281305.1,GCA_001281305,True,1,2578115,2578115,2578115,2578115,59.3903,0.0,,GCA_001281305.1,GCA_001281305,1
GCA_001281345.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001281345.1.fa.gz,643491,GCA_001281345.1,GCA_001281345,True,1,2210370,2210370,2210370,2210370,62.6471,0.0,,GCA_001281345.1,GCA_001281345,1
GCA_001281425.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001281425.1.fa.gz,715154,GCA_001281425.1,GCA_001281425,True,2,2426006,2421115,2421115,4891,59.0898,0.0,,GCA_001281425.1,GCA_001281425,1
GCA_001293145.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001293145.1.fa.gz,723288,GCA_001293145.1,GCA_001293145,True,2,2455762,2453124,2453124,2638,60.0103,0.0,,GCA_001293145.1,GCA_001293145,1
GCA_001296095.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001296095.1.fa.gz,954066,GCA_001296095.1,GCA_001296095,True,1,3198337,3198337,3198337,3198337,44.6556,0.0,,GCA_001296095.1,GCA_001296095,1
GCA_001297905.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001297905.1.fa.gz,600594,GCA_001297905.1,GCA_001297905,True,108,2011828,39558,137244,1010,51.9106,0.0,,GCA_001297905.1,GCA_001297905,1
GCA_001306395.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001306395.1.fa.gz,530509,GCA_001306395.1,GCA_001306395,True,85,1769014,51966,145657,518,38.935,0.0,,GCA_001306395.1,GCA_001306395,1
GCA_001307325.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001307325.1.fa.gz,1044104,GCA_001307325.1,GCA_001307325,True,13,3503067,808626,1586832,560,44.2111,0.0,,GCA_001307325.1,GCA_001307325,1
GCA_001308285.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_001308285.1.fa.gz,631861,GCA_001308285.1,GCA_001308285,True,1,2160583,2160583,2160583,2160583,36.8097,0.0,,GCA_001308285.1,GCA_001308285,1
GCA_001308305.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001308305.1.fa.gz,964229,GCA_001308305.1,GCA_001308305,True,2,3231771,1956412,1956412,1275359,44.5026,0.0,,GCA_001308305.1,GCA_001308305,1
GCA_001311315.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001311315.1.fa.gz,702381,GCA_001311315.1,GCA_001311315,True,24,2393865,222141,359291,500,34.8764,0.0,,GCA_001311315.1,GCA_001311315,1
GCA_001331925.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001331925.2.fa.gz,937499,GCA_001331925.2,GCA_001331925,True,1,3141590,3141590,3141590,3141590,44.684,0.0,,GCA_001331925.2,GCA_001331925,1
GCA_001368755.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001368755.1.fa.gz,584443,GCA_001368755.1,GCA_001368755,True,73,1950408,55702,159496,526,52.0808,0.0,,GCA_001368755.1,GCA_001368755,1
GCA_001368775.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001368775.1.fa.gz,969630,GCA_001368775.1,GCA_001368775,True,67,3224773,92828,312995,532,44.3638,0.0,,GCA_001368775.1,GCA_001368775,1
GCA_001433735.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001433735.1.fa.gz,847711,GCA_001433735.1,GCA_001433735,True,139,2820682,63029,189015,578,46.4496,0.123374,,GCA_001433735.1,GCA_001433735,1
GCA_001433855.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001433855.1.fa.gz,741739,GCA_001433855.1,GCA_001433855,True,11,2474438,465279,629071,574,45.9648,0.092546,,GCA_001433855.1,GCA_001433855,1
GCA_001433895.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001433895.1.fa.gz,575251,GCA_001433895.1,GCA_001433895,True,30,1954043,167501,404580,528,34.5895,0.019498,,GCA_001433895.1,GCA_001433895,1
GCA_001434005.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001434005.1.fa.gz,611638,GCA_001434005.1,GCA_001434005,True,150,2057071,28029,80409,629,36.5919,0.033932,,GCA_001434005.1,GCA_001434005,1
GCA_001435405.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001435405.1.fa.gz,881083,GCA_001435405.1,GCA_001435405,True,38,2949099,149321,350319,597,46.6836,0.250314,,GCA_001435405.1,GCA_001435405,1
GCA_001436485.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001436485.1.fa.gz,719183,GCA_001436485.1,GCA_001436485,True,389,2383240,14441,43276,202,46.4194,0.01691,,GCA_001436485.1,GCA_001436485,1
GCA_001444495.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001444495.1.fa.gz,965322,GCA_001444495.1,GCA_001444495,True,14,3228096,857574,1048781,22273,44.5527,0.0,,GCA_001444495.1,GCA_001444495,1
GCA_001446255.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001446255.1.fa.gz,688095,GCA_001446255.1,GCA_001446255,True,1,2340989,2340989,2340989,2340989,60.106,0.0,,GCA_001446255.1,GCA_001446255,1
GCA_001446275.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001446275.1.fa.gz,723408,GCA_001446275.1,GCA_001446275,True,1,2458004,2458004,2458004,2458004,60.218,0.0,,GCA_001446275.1,GCA_001446275,1
GCA_001447955.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001447955.1.fa.gz,684482,GCA_001447955.1,GCA_001447955,True,31,2233772,154491,340870,671,59.9776,0.0,,GCA_001447955.1,GCA_001447955,1
GCA_001447975.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001447975.1.fa.gz,685772,GCA_001447975.1,GCA_001447975,True,36,2235579,133967,195462,329,59.9642,0.0017,,GCA_001447975.1,GCA_001447975,1
GCA_001465815.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001465815.1.fa.gz,1193395,GCA_001465815.1,GCA_001465815,True,1,4030837,4030837,4030837,4030837,43.8772,0.0,,GCA_001465815.1,GCA_001465815,1
GCA_001469775.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001469775.1.fa.gz,552795,GCA_001469775.1,GCA_001469775,True,1,1875071,1875071,1875071,1875071,49.712,0.0,,GCA_001469775.1,GCA_001469775,1
GCA_001484005.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001484005.1.fa.gz,990169,GCA_001484005.1,GCA_001484005,True,3,3322458,3261418,3261418,12484,44.4655,0.0,,GCA_001484005.1,GCA_001484005,1
GCA_001514415.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001514415.1.fa.gz,865745,GCA_001514415.1,GCA_001514415,True,1,2918888,2918888,2918888,2918888,46.5961,0.0,,GCA_001514415.1,GCA_001514415,1
GCA_001514435.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_001514435.1.fa.gz,528887,GCA_001514435.1,GCA_001514435,True,1,1787436,1787436,1787436,1787436,39.099,0.0,,GCA_001514435.1,GCA_001514435,1
GCA_001540905.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001540905.1.fa.gz,733644,GCA_001540905.1,GCA_001540905,True,50,2439005,120479,256662,538,45.8866,0.0,,GCA_001540905.1,GCA_001540905,1
GCA_001541605.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001541605.1.fa.gz,779953,GCA_001541605.1,GCA_001541605,True,123,2591675,78576,167250,492,45.5917,0.0,,GCA_001541605.1,GCA_001541605,1
GCA_001541905.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001541905.1.fa.gz,1201535,GCA_001541905.1,GCA_001541905,True,1,4056281,4056281,4056281,4056281,43.8529,0.0,,GCA_001541905.1,GCA_001541905,1
GCA_001581895.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001581895.1.fa.gz,881544,GCA_001581895.1,GCA_001581895,True,1,2952218,2952218,2952218,2952218,44.9337,0.0,,GCA_001581895.1,GCA_001581895,1
GCA_001617525.2.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_001617525.2.fa.gz,976147,GCA_001617525.2,GCA_001617525,True,4,3274606,3254946,3254946,2066,44.5218,0.0,,GCA_001617525.2,GCA_001617525,1
GCA_001618905.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001618905.1.fa.gz,658223,GCA_001618905.1,GCA_001618905,True,1,2234097,2234097,2234097,2234097,38.6558,0.0,,GCA_001618905.1,GCA_001618905,1
GCA_001619265.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001619265.1.fa.gz,956411,GCA_001619265.1,GCA_001619265,True,57,3183959,113845,270685,301,44.53,0.00201,,GCA_001619265.1,GCA_001619265,1
GCA_001633745.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001633745.1.fa.gz,1004276,GCA_001633745.1,GCA_001633745,True,239,3342747,99880,252811,207,44.3374,0.0,,GCA_001633745.1,GCA_001633745,1
GCA_001645365.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001645365.1.fa.gz,741492,GCA_001645365.1,GCA_001645365,True,51,2542511,619944,872817,497,35.6766,0.006844,,GCA_001645365.1,GCA_001645365,1
GCA_001646605.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001646605.1.fa.gz,1301676,GCA_001646605.1,GCA_001646605,True,3,4597202,3794139,3794139,8061,28.6734,0.0,,GCA_001646605.1,GCA_001646605,1
GCA_001657495.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001657495.1.fa.gz,587535,GCA_001657495.1,GCA_001657495,True,45,1963029,104856,229710,1035,38.7445,0.0,,GCA_001657495.1,GCA_001657495,1
GCA_001659745.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001659745.1.fa.gz,973924,GCA_001659745.1,GCA_001659745,True,4,3263715,3212951,3212951,6111,44.5466,0.0,,GCA_001659745.1,GCA_001659745,1
GCA_001660025.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001660025.1.fa.gz,1018233,GCA_001660025.1,GCA_001660025,True,6,3425292,3131750,3131750,35461,44.3503,0.0,,GCA_001660025.1,GCA_001660025,1
GCA_001660525.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001660525.1.fa.gz,1148088,GCA_001660525.1,GCA_001660525,True,1,3876919,3876919,3876919,3876919,43.9058,0.0,,GCA_001660525.1,GCA_001660525,1
GCA_001660645.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001660645.1.fa.gz,983366,GCA_001660645.1,GCA_001660645,True,166,3278495,63959,260476,579,43.5986,0.0,,GCA_001660645.1,GCA_001660645,1
GCA_001663795.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001663795.1.fa.gz,548504,GCA_001663795.1,GCA_001663795,True,1,1856787,1856787,1856787,1856787,39.0819,0.0,,GCA_001663795.1,GCA_001663795,1
GCA_001672035.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001672035.1.fa.gz,999695,GCA_001672035.1,GCA_001672035,True,1,3354689,3354689,3354689,3354689,44.3558,0.0,,GCA_001672035.1,GCA_001672035,1
GCA_001676805.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001676805.1.fa.gz,763702,GCA_001676805.1,GCA_001676805,True,1,2552671,2552671,2552671,2552671,45.8062,0.000118,,GCA_001676805.1,GCA_001676805,1
GCA_001685375.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_001685375.1.fa.gz,531262,GCA_001685375.1,GCA_001685375,True,1,1791656,1791656,1791656,1791656,39.0444,0.0,,GCA_001685375.1,GCA_001685375,1
GCA_001697265.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001697265.1.fa.gz,1247328,GCA_001697265.1,GCA_001697265,True,1,4211343,4211343,4211343,4211343,43.5075,0.0,,GCA_001697265.1,GCA_001697265,1
GCA_001702095.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001702095.1.fa.gz,598160,GCA_001702095.1,GCA_001702095,True,1,2058319,2058319,2058319,2058319,37.0354,0.0,,GCA_001702095.1,GCA_001702095,1
GCA_001703495.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001703495.1.fa.gz,1248280,GCA_001703495.1,GCA_001703495,True,1,4214812,4214812,4214812,4214812,43.5144,0.0,,GCA_001703495.1,GCA_001703495,1
GCA_001705585.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001705585.1.fa.gz,561669,GCA_001705585.1,GCA_001705585,True,1,1899956,1899956,1899956,1899956,38.9245,0.0,,GCA_001705585.1,GCA_001705585,1
GCA_001715615.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001715615.1.fa.gz,933685,GCA_001715615.1,GCA_001715615,True,2,3128783,3119435,3119435,9348,44.7353,0.0,,GCA_001715615.1,GCA_001715615,1
GCA_001719085.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001719085.1.fa.gz,665743,GCA_001719085.1,GCA_001719085,True,1,2264056,2264056,2264056,2264056,60.004,0.0,,GCA_001719085.1,GCA_001719085,1
GCA_001720285.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001720285.1.fa.gz,1028130,GCA_001720285.1,GCA_001720285,True,3,3455529,3388033,3388033,16181,44.2909,0.0,,GCA_001720285.1,GCA_001720285,1
GCA_001721925.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001721925.1.fa.gz,871423,GCA_001721925.1,GCA_001721925,True,1,2934954,2934954,2934954,2934954,46.7845,0.0,,GCA_001721925.1,GCA_001721925,1
GCA_001722065.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001722065.1.fa.gz,856816,GCA_001722065.1,GCA_001722065,True,11,2884677,2410217,2410217,9983,45.2081,0.0,,GCA_001722065.1,GCA_001722065,1
GCA_001723545.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001723545.1.fa.gz,574214,GCA_001723545.1,GCA_001723545,True,1,1940170,1940170,1940170,1940170,41.9299,0.0,,GCA_001723545.1,GCA_001723545,1
GCA_001725985.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_001725985.1.fa.gz,713632,GCA_001725985.1,GCA_001725985,True,1,2421287,2421287,2421287,2421287,60.192,0.0,,GCA_001725985.1,GCA_001725985,1
